ScanningMode	2Theta/Theta
ScanningType	Continuos Scanning
X-Ray	40kV/40mA
DivSlit	2/3 deg.
DivH.L.Slit	10mm
SctSlit	2/3 deg.
RecSlit	0.3mm
Start	10
Stop	90
Step	0.02
Speed	2
Offset	0
10	6.66667
10.02	18.3333
10.04	18.3333
10.06	18.3333
10.08	18.3333
10.1	8.33333
10.12	13.3333
10.14	13.3333
10.16	15
10.18	11.6667
10.2	23.3333
10.22	6.66667
10.24	8.33333
10.26	6.66667
10.28	1.66667
10.3	5
10.32	11.6667
10.34	21.6667
10.36	6.66667
10.38	25
10.4	13.3333
10.42	13.3333
10.44	11.6667
10.46	10
10.48	16.6667
10.5	13.3333
10.52	11.6667
10.54	11.6667
10.56	20
10.58	11.6667
10.6	15
10.62	18.3333
10.64	5
10.66	15
10.68	16.6667
10.7	6.66667
10.72	6.66667
10.74	10
10.76	5
10.78	11.6667
10.8	16.6667
10.82	15
10.84	10
10.86	16.6667
10.88	8.33333
10.9	16.6667
10.92	5
10.94	20
10.96	10
10.98	15
11	15
11.02	11.6667
11.04	10
11.06	10
11.08	10
11.1	13.3333
11.12	8.33333
11.14	11.6667
11.16	10
11.18	11.6667
11.2	16.6667
11.22	6.66667
11.24	11.6667
11.26	1.66667
11.28	20
11.3	15
11.32	13.3333
11.34	13.3333
11.36	18.3333
11.38	1.66667
11.4	10
11.42	20
11.44	13.3333
11.46	5
11.48	16.6667
11.5	15
11.52	20
11.54	5
11.56	10
11.58	15
11.6	15
11.62	21.6667
11.64	10
11.66	18.3333
11.68	10
11.7	16.6667
11.72	16.6667
11.74	21.6667
11.76	16.6667
11.78	13.3333
11.8	28.3333
11.82	11.6667
11.84	13.3333
11.86	13.3333
11.88	13.3333
11.9	20
11.92	11.6667
11.94	16.6667
11.96	18.3333
11.98	13.3333
12	20
12.02	11.6667
12.04	20
12.06	6.66667
12.08	23.3333
12.1	8.33333
12.12	5
12.14	6.66667
12.16	15
12.18	18.3333
12.2	10
12.22	6.66667
12.24	5
12.26	11.6667
12.28	23.3333
